Name,Tags,Files
Criar Artista,pass,
Criar Album,pass,
Criar Música,pass,
Editar Artista,pass,
Editar Album,pass,
Editar Musica,pass,
Remover Artista,pass,
Remover Album,pass,
Remover Musica,pass,
Upload de uma música existente,pass,
Download de uma música,pass,
"O servidor original, quando recupera, torna-se secundário",pass,
Pedidos de leitura são respondidos apenas por um servidor multicast,pass,
O serviço funciona desde que haja um servidor multicast disponível,pass,
Avaria de um servidor RMI não tem qualquer efeito nos clientes,pass,
Não se perde/duplica músicas se os servidores RMI falharem,pass,
Servidor RMI primário testa periodicamente o secundário,pass,
Em caso de avaria longa os clientes RMI ligam ao secundário,pass,
Servidor RMI secundário substitui o primário em caso de avaria longa,pass,
O failover é invisível para utilizadores (não perdem a sessão),pass,
"O servidor original, quando recupera, torna-se secundário",pass,
Notificação imediata de privilégios de editor (online users),pass,
Notificação imediata de re-edição de descrição de álbum (online users),pass,
Entrega posterior de notificações (offline users),pass,
Registar novo utilizador,pass,
Login protegido com password,pass,
,,
