Sistemas Distribuídos 2018/19 - Meta 2,Property,Property 1,pass/fail,Detalhes
Registar novo utilizador**,,5,Yes,
Login protegido com password (acesso a todas as páginas),,5,Yes,
"Introduzir artistas, álbuns e músicas",,5,Yes,
Remover artistas que não tenham álbuns nem músicas,,5,Yes,
Pesquisar álbuns por artista e por título de álbum,,5,Yes,
Consultar detalhes de álbum (incluindo músicas e críticas)**,,5,Yes,
Editar detalhes de álbum (incluindo músicas),,5,Yes,
Escrever crítica sobre um álbum (com pontuação),,5,Yes,
"Consultar detalhes de artista (e.g., discografia, biografia)",,5,Yes,
Dar privilégios de editor a um utilizador**,,5,Yes,
Notificação imediata de privilégios de editor**,,5,Yes,
Notificação imediata de re-edição de descrição textual**,,5,Yes,
Atualização imediata da pontuação média das críticas,,5,Yes,
Associar conta de utilizador à Dropbox,,5,Yes,
Associar ficheiro contido na Dropbox a uma música existente,,5,Yes,
Partilhar música através da Dropbox,,5,Yes,
Tocar uma música diretamente na página do DropMusic,,5,Yes,
Login com a conta da Dropbox,,5,Yes,
